codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0004A,0090,374,5,6,0,18,87,1,1,5,9,3,1,2,0,5,2,2,4,1,6,6,3,3,85,5,6
04,Capital,001,0004A,0091,374,2,4,0,16,89,6,5,1,7,6,1,3,2,1,0,2,3,4,2,4,8,3,89,17,3
04,Capital,001,0004A,0092,374,2,3,4,19,81,4,3,2,9,6,0,0,0,2,1,0,1,2,2,4,2,2,99,13,7
04,Capital,001,0004A,0093,374,3,11,1,9,91,3,6,3,7,13,4,1,0,1,4,1,1,3,2,11,4,1,68,13,1
04,Capital,001,0004A,0094,374,8,4,3,23,84,0,4,3,7,1,1,1,1,4,2,3,3,0,11,4,5,2,74,14,11
04,Capital,001,0004A,0095,374,5,1,3,15,86,1,5,4,8,5,1,5,0,4,0,5,1,1,5,3,3,1,97,8,4
04,Capital,001,0004A,0096,374,4,8,0,13,91,2,4,5,9,8,3,1,3,3,1,3,2,3,3,4,3,2,86,15,4
04,Capital,001,0004A,0097,374,5,6,3,17,91,4,4,5,4,3,4,5,1,3,5,3,2,2,3,0,4,2,0,14,6
04,Capital,001,0004A,0098,374,0,2,1,17,76,7,7,0,9,6,1,4,0,1,0,1,2,0,3,3,6,1,99,14,8
04,Capital,001,0004A,0099,374,8,6,0,20,72,11,4,1,10,3,2,2,0,9,1,2,2,2,5,5,3,3,81,6,7
04,Capital,001,0004A,0100,373,3,6,3,19,73,1,4,0,3,7,4,6,1,5,0,2,1,2,4,3,3,3,90,12,8
04,Capital,001,0004A,0101,373,0,0,1,17,82,4,2,5,9,5,3,2,0,4,1,1,4,2,8,10,3,3,82,10,5
04,Capital,001,0004A,0102,373,2,6,0,19,75,1,2,4,6,1,0,4,2,5,3,6,2,0,5,1,8,1,94,13,11
04,Capital,001,0004A,0103,373,6,6,1,10,81,3,11,5,1,1,0,2,0,2,1,3,0,0,19,2,1,5,91,16,20
04,Capital,001,0004A,0104,373,3,8,1,25,77,2,5,3,6,2,4,1,1,2,2,7,1,2,1,3,13,5,95,15,5
04,Capital,001,0004A,0105,373,4,2,1,24,81,5,3,1,8,4,7,4,2,0,0,2,4,2,6,3,4,4,80,9,5
04,Capital,001,0004A,0106,373,4,6,2,12,101,1,4,2,5,0,1,0,1,9,1,9,4,0,4,5,3,1,86,8,7
04,Capital,001,0004A,0107,373,3,4,4,14,81,0,3,2,4,3,2,5,6,4,1,4,1,1,2,3,9,2,94,10,12
04,Capital,001,0004A,0108,373,3,4,3,9,78,1,5,7,1,1,2,3,0,6,3,3,1,0,21,6,6,3,83,9,7
04,Capital,001,0004A,3660,384,3,5,1,13,73,8,6,7,2,0,1,4,1,7,4,5,2,1,9,1,3,5,88,11,9
04,Capital,001,0004A,3661,384,4,7,2,13,69,12,4,4,6,2,5,4,2,1,0,4,0,2,6,5,6,1,106,13,5
04,Capital,001,0004A,3662,384,2,4,2,26,77,5,3,2,2,2,3,1,0,5,0,1,3,1,2,4,5,2,119,7,5
04,Capital,001,0004A,3663,384,4,3,0,19,71,5,4,6,7,6,6,4,0,1,3,0,3,1,1,4,7,3,101,10,11
04,Capital,001,0004A,3664,384,0,0,3,16,71,2,6,0,8,42,1,4,0,0,1,0,0,2,2,9,8,5,133,6,7
04,Capital,001,0004A,3665,384,2,6,0,12,72,3,4,6,1,6,3,3,5,1,3,8,4,1,2,9,13,3,99,9,12
04,Capital,001,0004A,3666,384,7,2,0,9,76,0,7,1,4,5,1,3,1,9,0,2,4,3,10,4,5,1,96,11,7
04,Capital,001,0004A,3667,384,6,5,2,18,72,6,3,3,2,5,1,2,1,11,1,0,0,3,4,1,11,4,109,2,8
04,Capital,001,0004A,3668,384,0,0,3,13,71,6,3,5,3,1,1,1,0,16,0,2,2,0,10,1,16,5,84,18,6
04,Capital,001,0004A,3669,384,7,6,1,5,68,0,4,6,4,2,2,1,2,1,4,20,4,0,5,2,3,3,99,11,13
04,Capital,001,0004A,3670,384,4,5,0,11,60,2,3,1,1,3,3,4,1,7,2,2,4,1,11,5,3,2,99,7,13
04,Capital,001,0004A,3671,384,4,5,2,10,85,10,3,2,3,5,2,2,2,1,1,0,0,0,3,5,3,2,116,7,8
04,Capital,001,0004A,3672,384,3,4,1,10,85,0,2,7,1,4,1,0,1,6,2,3,3,2,13,3,11,1,102,7,9
