codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0002I,3117,412,3,4,3,3,3,5,5,35,7,0,3,58,91,64,5
17,Capital                                 ,001,0002I,3118,412,4,7,7,8,9,4,3,27,4,0,2,56,83,76,4
17,Capital                                 ,001,0002I,3119,412,6,9,3,8,6,7,5,28,4,0,1,67,82,76,3
17,Capital                                 ,001,0002I,3120,412,7,9,1,7,3,4,7,27,1,0,2,48,69,77,7
17,Capital                                 ,001,0002I,3121,412,6,8,2,14,6,9,2,30,4,0,2,54,84,62,1
17,Capital                                 ,001,0002I,3122,411,7,6,8,16,3,1,7,30,0,0,2,49,83,77,4
17,Capital                                 ,001,0002I,3123,411,6,4,2,7,3,4,6,29,2,0,1,62,90,74,6
17,Capital                                 ,001,0002I,3124,411,3,8,3,11,2,6,9,28,5,1,3,59,87,63,5
17,Capital                                 ,001,0002I,3125,411,0,4,2,12,2,6,9,36,4,0,5,60,69,51,2
17,Capital                                 ,001,0002J,1114,398,2,8,4,6,3,5,7,19,5,0,7,58,72,50,3
17,Capital                                 ,001,0002J,1115,398,5,2,4,11,6,3,0,26,3,0,3,65,100,50,1
17,Capital                                 ,001,0002J,1116,397,3,5,4,8,1,3,8,24,6,0,3,51,84,41,4
17,Capital                                 ,001,0002J,1117,397,4,5,8,7,8,9,5,19,7,0,1,47,85,47,1
17,Capital                                 ,001,0002J,1118,397,4,6,7,8,3,3,5,18,8,0,2,62,92,36,2
17,Capital                                 ,001,0002J,1119,397,7,2,3,9,2,2,4,20,7,0,3,45,91,56,5
17,Capital                                 ,001,0002J,1120,397,9,5,2,5,3,8,6,20,8,0,3,43,84,50,2
17,Capital                                 ,001,0002J,1121,397,7,2,3,4,3,6,8,22,4,0,1,31,93,50,3
17,Capital                                 ,001,0002J,1122,397,2,8,2,9,6,6,3,16,5,0,4,56,71,54,7
17,Capital                                 ,001,0002J,3126,413,13,7,8,3,8,12,3,22,6,0,1,56,100,59,5
17,Capital                                 ,001,0002J,3127,413,1,3,17,7,9,2,6,30,5,0,4,42,123,50,3
17,Capital                                 ,001,0002J,3128,413,3,7,10,17,3,5,5,28,6,0,1,48,106,49,1
17,Capital                                 ,001,0002J,3129,412,6,3,3,15,8,7,4,24,6,0,3,55,107,50,5
17,Capital                                 ,001,0002J,3130,412,3,5,10,15,2,7,5,15,1,0,2,52,117,54,4
17,Capital                                 ,001,0002J,3131,412,2,14,5,8,8,6,1,19,1,0,4,48,107,65,4
17,Capital                                 ,001,0002J,3132,412,2,1,5,10,5,5,5,32,3,0,4,37,114,64,7
17,Capital                                 ,001,0002J,3133,412,3,4,6,11,7,8,10,25,6,0,2,45,89,75,4
17,Capital                                 ,001,0002J,3134,412,4,0,12,10,6,7,4,28,4,0,0,57,106,63,2
17,Capital                                 ,001,0002K,1123,398,9,5,4,10,6,4,5,19,6,0,3,60,80,61,4
17,Capital                                 ,001,0002K,1124,398,3,6,2,12,3,10,4,33,4,0,3,55,67,59,3
