codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0008 ,0190,338,1,0,0,1,2,0,0,0,8,0,1,4,8,1,32,1,24,123
01,Comuna 01,001,0008 ,0191,338,3,1,0,0,0,0,0,0,3,2,0,11,12,5,18,1,28,135
01,Comuna 01,001,0008 ,0192,338,1,2,0,1,0,0,0,0,8,1,0,5,7,2,20,0,42,138
01,Comuna 01,001,0008 ,0193,338,2,0,1,1,0,0,0,0,5,1,0,3,6,3,20,0,37,133
01,Comuna 01,001,0009 ,0194,345,0,2,1,1,1,0,0,0,6,0,1,2,4,1,31,3,38,110
01,Comuna 01,001,0009 ,0195,345,1,3,0,1,1,1,0,0,12,0,0,1,11,2,30,2,41,120
01,Comuna 01,001,0009 ,0196,345,3,2,0,4,0,0,0,0,10,1,0,7,14,2,26,1,30,117
01,Comuna 01,001,0009 ,0197,345,0,2,0,0,0,0,0,0,6,1,0,10,5,0,25,1,39,127
01,Comuna 01,001,0009 ,0198,345,1,5,0,0,0,0,1,2,2,2,0,2,4,1,18,4,35,142
01,Comuna 01,001,0009 ,0199,345,3,3,2,1,1,0,0,1,3,0,1,4,11,1,16,2,48,125
01,Comuna 01,001,0009 ,0200,344,1,3,0,1,0,1,0,0,2,0,0,4,8,1,19,3,34,130
01,Comuna 01,001,0009 ,0201,344,0,0,0,1,0,2,1,0,9,1,1,11,11,3,21,0,34,129
01,Comuna 01,001,0009 ,0202,343,1,2,0,1,0,1,0,1,7,1,1,6,9,0,10,1,27,137
01,Comuna 01,001,0009 ,0203,344,1,5,0,0,1,1,0,1,5,0,0,11,6,1,15,3,41,125
01,Comuna 01,001,0009 ,0204,344,0,3,1,1,1,0,1,0,6,2,1,1,8,1,14,1,36,117
01,Comuna 01,001,0009 ,0205,344,1,4,0,3,1,0,0,0,4,0,0,9,7,0,33,1,39,126
01,Comuna 01,001,0009 ,0206,344,3,2,0,1,0,0,1,0,8,0,0,4,6,0,29,3,32,123
01,Comuna 01,001,0009 ,0207,346,3,1,0,1,2,1,3,0,5,0,0,3,14,0,17,0,43,115
01,Comuna 01,001,0009 ,0208,344,2,0,0,2,0,0,0,0,5,0,0,7,9,2,22,2,24,129
01,Comuna 01,001,0009 ,0209,344,1,5,0,0,0,0,1,1,6,0,0,13,6,1,32,1,31,123
01,Comuna 01,001,0009 ,0210,344,1,5,0,1,0,0,0,0,4,0,0,3,5,0,12,3,40,143
01,Comuna 01,001,0009 ,0211,344,1,3,0,3,0,1,1,0,3,2,0,3,5,1,18,2,30,135
01,Comuna 01,001,0009 ,0212,344,3,4,0,1,0,0,1,0,8,1,0,9,8,0,23,2,38,108
01,Comuna 01,001,0009 ,0213,344,3,2,0,0,1,0,0,0,8,1,0,9,4,1,21,2,38,126
01,Comuna 01,001,0009 ,0214,345,1,4,0,1,1,0,0,0,1,0,1,2,10,1,31,0,48,119
01,Comuna 01,001,0009 ,0215,344,2,4,0,0,0,0,0,0,5,0,0,6,8,5,32,3,27,127
01,Comuna 01,001,0009 ,0216,344,0,1,0,1,1,0,0,0,2,0,2,11,11,4,28,2,41,120
01,Comuna 01,001,0009 ,0217,344,3,1,0,1,2,1,1,0,7,0,0,5,7,2,26,1,33,129
01,Comuna 01,001,0009 ,0218,344,1,1,0,1,1,0,0,0,5,0,0,2,8,0,25,0,30,130
01,Comuna 01,001,0009 ,0219,345,5,1,0,0,0,0,0,0,6,1,0,2,6,1,27,2,33,140
01,Comuna 01,001,0009 ,0220,345,2,7,0,1,1,1,2,0,10,1,3,12,14,2,17,0,27,107
01,Comuna 01,001,0009 ,0221,345,3,5,0,0,0,0,1,1,5,0,0,3,9,1,27,2,35,123
01,Comuna 01,001,0009 ,0222,344,4,4,0,2,0,0,0,1,7,0,1,3,5,1,26,0,20,115
01,Comuna 01,001,0009 ,0223,344,2,0,0,0,1,1,0,0,3,1,0,9,4,2,21,2,55,102
01,Comuna 01,001,0009 ,0224,345,2,2,1,1,2,0,0,0,10,1,0,6,3,2,16,3,33,132
01,Comuna 01,001,0009 ,0225,344,0,2,0,0,1,0,2,1,5,1,1,9,6,2,20,4,42,120
01,Comuna 01,001,0009 ,0226,344,3,2,0,1,1,0,1,1,9,1,1,1,4,2,18,1,40,119
01,Comuna 01,001,0010 ,0227,347,2,3,0,2,0,2,0,1,6,2,0,4,8,4,28,1,56,112
01,Comuna 01,001,0010 ,0228,347,1,1,0,1,1,1,0,0,8,3,0,6,6,1,34,2,49,124
01,Comuna 01,001,0010 ,0229,347,1,1,0,4,1,1,2,1,7,0,2,2,7,1,22,1,37,137
01,Comuna 01,001,0010 ,0230,347,6,0,0,1,0,0,0,0,7,1,0,7,7,4,16,1,45,133
01,Comuna 01,001,0010 ,0231,347,2,2,1,2,1,1,0,0,9,2,0,7,7,2,24,1,44,130
01,Comuna 01,001,0010 ,0232,347,6,1,1,0,0,1,0,1,5,0,0,10,10,6,26,2,46,128
01,Comuna 01,001,0010 ,0233,347,2,2,0,0,0,1,1,0,7,1,1,7,10,5,26,2,44,127
01,Comuna 01,001,0010 ,0234,347,2,3,0,0,1,0,0,3,14,0,0,3,9,3,21,1,51,127
01,Comuna 01,001,0010 ,0235,347,5,3,1,3,1,1,1,1,8,4,2,3,5,0,24,3,45,140
