codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0009,0014,0019,0020,0026,0030,0036,0037,0038,0044,0045,0050,0132,0134,0136,0154,0189,0190,0191,0192
21,Caseros                                 ,002,0374 ,0114,450,35,2,12,22,2,0,22,2,8,0,1,2,0,0,0,2,39,2,0,17,0,1,1
21,Caseros                                 ,002,0374 ,0115,231,24,0,7,18,0,0,17,2,5,1,0,2,0,0,60,1,45,2,0,5,1,1,0
21,Caseros                                 ,002,0374A,0111,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0
21,Caseros                                 ,002,0374A,0116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Caseros                                 ,002,0375 ,0112,450,56,0,16,46,8,1,30,1,8,0,0,1,3,0,89,0,75,8,1,21,0,2,0
21,Caseros                                 ,002,0375 ,0113,450,61,0,7,30,3,0,26,0,6,0,0,0,0,0,50,0,89,1,0,51,0,0,0
21,Caseros                                 ,002,0375 ,0114,450,38,0,15,42,14,0,33,0,6,0,3,2,0,4,74,1,94,2,1,30,3,1,1
21,Caseros                                 ,002,0375 ,0115,450,63,0,19,46,2,0,24,3,3,1,1,1,0,1,96,1,107,9,0,16,2,0,1
21,Caseros                                 ,002,0375 ,0116,450,0,0,0,64,2,0,23,2,4,1,0,1,2,0,103,1,95,8,1,0,1,0,2
21,Caseros                                 ,002,0375 ,0117,860,78,0,56,102,4,4,46,0,14,0,6,2,2,0,238,4,180,8,2,38,6,2,8
21,Caseros                                 ,002,0375 ,0118,450,21,0,40,17,0,1,25,0,2,0,0,0,0,0,133,0,78,6,0,12,1,0,0
21,Caseros                                 ,002,0375 ,0119,450,42,0,17,24,1,0,28,1,7,0,1,1,0,1,113,1,98,2,0,18,0,0,0
21,Caseros                                 ,002,0375 ,0120,450,38,0,17,28,1,0,17,0,5,0,2,0,1,1,126,0,89,5,0,19,1,0,0
21,Caseros                                 ,002,0375 ,0121,450,45,0,16,33,3,0,27,1,3,0,0,0,0,0,126,1,89,6,1,17,0,0,0
